activation,checkpoint,condition_number,energy_rank_90,energy_rank_95,energy_rank_99,energy_rank_999,energy_rank_9999,energy_top1,energy_top16,energy_top32,energy_top4,energy_top8,frobenius_norm,graft_id,graft_status,matrix_name,rank_full,run_dir,scale,seed,shape,spectral_norm,stable_rank,target
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,unused_sample,effective_up_down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[96, 96]",0.0,0.0,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,1.1271905049096498,86,91,95,96,96,0.011660838878246585,0.18194212976386107,0.3568943675142866,0.046407363776753426,0.09201159755155346,16.415335545061946,7,unused_sample,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[96, 25889]",1.7726159870585325,85.75712351754643,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,unused_sample,down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[25889, 96]",0.0,0.0,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42/composed_graft_checkpoint.pt,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,unused_sample,effective_up_down,0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,0.0010000000474974513,42,"[96, 96]",0.0,0.0,
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.9660919689169396,86,91,95,96,96,0.034870057367415906,0.20158895627779533,0.3722985675714995,0.0688904389597462,0.11365334297602142,16.63212185238153,0,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011291795410215855,7,"[96, 25889]",3.10580360024411,28.677899478721347,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,957.0617878041886,2,5,20,38,66,0.8673239950783452,0.9849644831855747,0.9978084033507375,0.94816962937549,0.9666543928571887,1.5044951069316792,0,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011291795410215855,7,"[25889, 96]",1.401139770461865,1.1529716757227155,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,3337995.2327169483,1,1,3,16,27,0.9657807627959104,0.99911484349308,0.9999724402897179,0.9921819405775607,0.9960164551887399,4.1627292629388295,0,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011291795410215855,7,"[96, 96]",4.090886602932357,1.0354316823468566,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1.9513328981943885,86,91,95,96,96,0.03411877988768753,0.20062010518117335,0.371831437822271,0.06810835699242729,0.11279844446795734,16.63485586285553,1,accepted,up,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011265617795288563,7,"[96, 25889]",3.0726690660788103,29.30937165079783,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,1012.4688028592433,2,5,21,39,66,0.8657248359145363,0.9843360371243888,0.9976827958782175,0.9468802863050731,0.9658515353750521,1.472431338281484,1,accepted,down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011265617795288563,7,"[25889, 96]",1.3700139536467706,1.155101434676548,blocks.4
silu,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7/composed_graft_checkpoint.pt,551055.1801240878,1,1,4,16,27,0.9645331687019054,0.9990544692817308,0.9999691189827775,0.9918256777259853,0.9958048238643694,4.0296221985555905,1,accepted,effective_up_down,96,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed7,0.011265617795288563,7,"[96, 96]",3.957518136019896,1.0367709814954595,blocks.4
